Driver,BHR,SAU,AUS,AZE,USA,MCO,ESP,CAN,AUT,GBR,HUN,BEL,NLD,ITA,SGP,JPN,QAT,USA,MEX,BRA,USA,ARE
VER,35,61,36,37,64,35,46,35,56,46,46,68,46,38,25,47,62,53,42,45,44,47
PER,28,36,52,61,28,10,27,28,51,26,39,7,30,30,16,-11,-3,32,-10,37,35,30
HAM,19,16,29,19,24,28,39,23,31,25,20,32,29,17,39,20,6,-4,41,13,26,14
NOR,-1,7,19,0,1,6,-2,2,29,38,29,15,25,9,30,31,41,46,48,57,-14,22
ALO,39,23,23,27,25,27,14,27,28,12,7,2,62,5,-1,16,25,-9,-16,39,12,16
SAI,19,12,8,21,20,6,19,22,31,4,12,-8,31,38,45,18,-14,32,19,21,34,4
RUS,16,18,-7,25,28,16,31,-12,34,18,27,28,6,17,-2,14,37,25,18,1,14,32
LEC,-11,27,-15,29,16,16,14,19,32,6,12,26,-7,24,22,22,22,-10,24,-3,41,29
PIA,-16,2,16,8,5,4,3,3,20,20,18,-7,18,15,24,35,56,-20,14,3,39,19
GAS,20,6,1,17,10,10,14,8,7,-3,-19,17,39,3,21,7,11,22,10,24,1,4
STR,17,-14,21,18,12,-17,16,14,25,2,9,12,10,7,0,-14,17,10,8,28,39,11
TSU,8,9,7,-13,16,-4,11,8,4,3,5,7,16,-20,-17,2,11,30,20,22,14,21
ZHO,15,6,15,-10,1,11,16,4,10,6,-4,18,-9,3,11,8,19,2,2,-11,12,10
ALB,13,-17,-15,2,-1,0,5,22,11,8,8,19,17,12,12,-15,23,14,13,-11,0,6
OCO,-17,7,2,7,8,32,9,11,9,-18,-19,23,26,-18,-13,10,2,-10,10,17,40,2
RIC,8,7,3,-15,0,0,6,-1,9,3,2,7,19,5,8,5,-16,1,12,10,6,11
MAG,8,9,2,16,6,1,9,0,13,-19,5,9,14,1,8,4,23,12,-16,-21,5,0
HUL,-1,1,11,2,4,7,3,-1,-4,0,0,13,11,-2,0,10,-18,17,8,-1,2,-3
BOT,13,-2,12,-1,2,10,2,6,5,-5,0,7,14,8,-18,-17,15,10,2,-19,-5,4
SAR,11,2,5,0,1,0,1,-19,19,6,2,3,-18,3,6,-21,-34,16,6,12,-3,5
